county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Arapahoe	2018-09-01	Child Care/Preschool	0.03	1.51	0.04	1.94	0.03	1.42	0.06	1.52	0.04	1.47	0.03	1.61	0.08	1.65	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2018-09-01	Kindergarten	0.06	2.42	0.05	2.32	NA	NA	0.05	2.55	NA	NA	0.04	2.56	0.09	2.65	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2018-09-01	School	0.05	1.29	0.05	1.54	NA	NA	0.08	1.59	NA	NA	0.06	1.59	0.14	1.81	0.1	1.41	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2019-09-01	Child Care/Preschool	0.13	1.49	0.13	1.65	0.09	1.3	0.13	1.45	0.1	1.28	0.13	1.47	0.12	1.56	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2019-09-01	Kindergarten	0.11	1.64	0.01	1.81	NA	NA	0.18	2.17	NA	NA	0.1	1.95	0.17	2.3	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2019-09-01	School	0.03	0.9	0.04	1.05	NA	NA	0.08	1.17	NA	NA	0.05	1.09	0.1	1.31	0.06	1.07	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2020-09-01	Child Care/Preschool	0.5	1.82	0.05	1.62	0.05	1.28	0.51	1.86	0.05	1.27	0.06	1.42	0.5	1.99	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2020-09-01	Kindergarten	0.03	1.52	0.01	1.87	NA	NA	0.11	2.28	NA	NA	0.05	1.82	0.13	2.35	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2020-09-01	School	0.02	1.3	0.04	1.64	NA	NA	0.08	1.91	NA	NA	0.04	1.62	0.1	2.05	0.05	1.26	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arapahoe	2021-09-01	Child Care/Preschool	0.16	1.19	0.17	1.37	0.17	1.02	0.18	1.29	0.16	1.01	0.16	1.18	0.18	1.3	NA	NA	08005	CO	Arapahoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
