"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
319,"Sheboygan Area","5271",7,"Unified","Sheboygan Area Sch Dist",92.39380236,"92.4%",254041306.399794,252515.978089857
320,"Sheboygan Falls","5278",7,"Unified","Sheboygan Falls Sch Dist",97.09412508,"97.1%",275219747.217987,139804.167390916
321,"Shiocton","5348",6,"Unified","Shiocton Sch Dist",90.30054645,"90.3%",555467414.341164,160200.983503591
322,"Shorewood","5355",1,"Unified","Shorewood Sch Dist",89.16155419,"89.2%",7926560.17032085,12483.3286048836
323,"Shullsburg","5362",3,"Unified","Shullsburg Sch Dist",87.38170347,"87.4%",457343634.102131,231121.541845933
324,"Silver Lake J1","5369",2,"Elementary","Silver Lake J1 Sch Dist",91.14219114,"91.1%",25040113.1418689,26654.2644218598
325,"Siren","5376",11,"Unified","Siren Sch Dist",92.21967963,"92.2%",587841665.124099,136645.319209907
326,"Slinger","5390",6,"Unified","Slinger Sch Dist",90.58858679,"90.6%",385816413.474999,120067.865529953
327,"Solon Springs","5397",12,"Unified","Solon Springs Sch Dist",97.72727273,"97.7%",865556400.599993,144076.746459253
328,"Somerset","5432",11,"Unified","Somerset Sch Dist",96.54705484,"96.5%",309166555.818739,223390.115796905
329,"South Milwaukee","5439",1,"Unified","South Milwaukee Sch Dist",91.4764622,"91.5%",23271203.0578441,21399.2140283701
330,"South Shore","4522",12,"Unified","South Shore Sch Dist",78.28282828,"78.3%",1603454986.64564,226111.083844724
331,"Southern Door County","5457",7,"Unified","Southern Door County Sch Dist",89.24302789,"89.2%",1009785181.00983,203955.316576148
332,"Southwestern Wisconsin","2485",3,"Unified","Southwestern Wisconsin Sch Dist",89.70037453,"89.7%",272890290.462087,144208.62579833
333,"Sparta Area","5460",4,"Unified","Sparta Area Sch Dist",89.31506849,"89.3%",1449801116.97911,293549.200872139
334,"Spencer","5467",10,"Unified","Spencer Sch Dist",94.61172742,"94.6%",412242912.638367,109963.543748448
335,"Spring Valley","5586",11,"Unified","Spring Valley Sch Dist",86.07954545,"86.1%",562937147.338767,250458.812510465
336,"Stanley-Boyd Area","5593",10,"Unified","Stanley-Boyd Area Sch Dist",89.16666667,"89.2%",967167558.369915,218134.264746255
337,"Stevens Point Area Public","5607",5,"Unified","Stevens Point Area Public Sch Dist",91.03645461,"91%",1962312043.42791,298798.448982451
338,"Stockbridge","5614",7,"Unified","Stockbridge Sch Dist",86.60287081,"86.6%",137030352.829621,140704.16739168
339,"Stone Bank","3542",1,"Elementary","Stone Bank Sch Dist",91.90140845,"91.9%",54439824.7620119,48722.437228085
340,"Stoughton Area","5621",2,"Unified","Stoughton Area Sch Dist",94.38483548,"94.4%",545037473.370746,195470.780685657
341,"Stratford","5628",9,"Unified","Stratford Sch Dist",92.50614251,"92.5%",596721042.372483,170122.981324775
342,"Sturgeon Bay","5642",7,"Unified","Sturgeon Bay Sch Dist",86.82972719,"86.8%",45831040.2762245,84982.8978990567
343,"Sun Prairie Area","5656",2,"Unified","Sun Prairie Area Sch Dist",91.90413736,"91.9%",391501369.943419,128690.099398667
344,"Superior","5663",12,"Unified","Superior Sch Dist",93.33175131,"93.3%",2217271847.94486,219110.06756786
345,"Swallow","3510",1,"Elementary","Swallow Sch Dist",92.40780911,"92.4%",29024897.3961282,40365.3207961605
346,"Thorp","5726",10,"Unified","Thorp Sch Dist",90.41353383,"90.4%",809885766.766227,202061.046649051
347,"Three Lakes","5733",9,"Unified","Three Lakes Sch Dist",87.39130435,"87.4%",1617619246.39422,259069.398632956
348,"Tigerton","5740",8,"Unified","Tigerton Sch Dist",94.50549451,"94.5%",499048777.124522,140241.408323523
349,"Tomah Area","5747",4,"Unified","Tomah Area Sch Dist",90.35985474,"90.4%",2339355489.38505,344689.160225919
