"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38023,"Divide County","7",469,0,0.424648187633262,0,0.213134328358209,98.9323667377399,98.9323667377399,NA,98.5077185501066,98.9323667377399,94.8825586353945,94.8825586353945
38023,"Divide County","Kindergarten",227,0,3.08246696035242,0,2.20123348017621,94.2729955947137,94.2729955947137,94.2729955947137,95.5954185022026,94.2729955947137,NA,NA
38025,"Dunn County","11",237,3.37413502109705,1.26649789029536,0,0.421434599156118,93.6732911392405,93.6732911392405,NA,94.5161603375527,92.4050210970464,91.13805907173,54.8516877637131
38025,"Dunn County","7",434,1.63596774193548,2.87407834101383,0,0.234838709677419,92.4868202764977,92.7172350230415,NA,92.9535253456221,92.7230184331797,83.8637788018433,82.9417741935484
38025,"Dunn County","Kindergarten",380,5.33497368421053,5.33428947368421,0.263263157894737,1.57821052631579,79.2948421052632,80.0853684210526,79.5579210526316,83.4727368421052,79.2948421052632,NA,NA
38027,"Eddy County","11",157,0,0.637770700636943,0,0,92.9943949044586,92.9943949044586,NA,92.9943949044586,92.9943949044586,92.9943949044586,91.7210191082803
38027,"Eddy County","7",153,0,1.30718954248366,0,0,98.6928104575163,98.6928104575163,NA,98.6928104575163,96.0781045751634,95.4248366013072,94.7712418300653
38027,"Eddy County","Kindergarten",201,0.496716417910448,3.48467661691542,0,0,97.0149751243781,96.0211940298507,96.5187064676617,97.5129850746269,96.0186069651741,NA,NA
38029,"Emmons County","11",314,1.27347133757962,0.69171974522293,0,0.373566878980892,97.2887579617834,97.0236624203822,NA,97.6612420382166,97.2887579617834,95.4320063694267,80.399076433121
38029,"Emmons County","7",199,1.50788944723618,1.00452261306533,0,0.502010050251256,95.981256281407,96.4832663316583,NA,96.9855778894472,95.4792462311558,93.4661809045226,91.9592462311558
38029,"Emmons County","Kindergarten",194,1.03051546391753,2.15278350515464,1.03170103092784,0.515154639175258,89.6011855670103,91.6628350515464,92.1785567010309,94.3315979381443,90.6324742268041,NA,NA
38031,"Foster County","7",481,7.48128898128898,1.03692307692308,0,0.831683991683992,97.0921413721414,96.052474012474,NA,96.6762993762994,96.2575467775468,91.4755301455301,91.4755717255717
38031,"Foster County","Kindergarten",316,0,2.23348101265823,0.322784810126582,0.948291139240506,96.8115189873418,96.4939240506329,96.8113924050633,97.4436075949367,96.8115189873418,NA,NA
38031,"Foster County","11",213,0.469483568075117,0.468732394366197,0.469483568075117,0.469483568075117,98.1228169014085,98.5923004694836,NA,98.5923004694836,98.5923004694836,96.6938028169014,94.7736150234742
38033,"Golden Valley County","11",126,1.58714285714286,1.58809523809524,0,1.58714285714286,96.8247619047619,95.1735714285714,NA,95.1735714285714,95.1735714285714,95.2366666666667,64.6981746031746
38033,"Golden Valley County","7",107,2.80411214953271,3.73719626168224,0.934299065420561,0,93.458691588785,95.3275700934579,NA,95.3275700934579,94.3920560747663,80.3741121495327,79.4385981308411
38033,"Golden Valley County","Kindergarten",143,0,6.4993006993007,0,0.699300699300699,94.2006293706294,93.5016083916084,92.8013986013986,94.8990909090909,94.2006293706294,NA,NA
