"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
615,"2019/2020","Child Care/Preschool","Polio","Medical Exemption",0.1,108348
616,"2019/2020","Child Care/Preschool","Polio","Nonmedical Exemption",2.6,108348
617,"2019/2020","Kindergarten","DTaP","Fully Immunized",92.8,67876
618,"2020/2021","School","Tdap","In Process",0.3,487860
619,"2021/2022","Child Care/Preschool","Varicella","No Record",0.8,92664
620,"2022/2023","Kindergarten","DTaP","In Process",0.6,63887
621,"2023/2024","Kindergarten","HepB","Medical Exemption",0.1,61748
622,"2023/2024","Kindergarten","MMR","In Process",0.5,61748
623,"2023/2024","School","Polio","Fully Immunized",93.2,853939
624,"2024/2025","Child Care/Preschool","Varicella","No Record",1,94156
625,"2017/2018","Child Care/Preschool","PCV","Incomplete Record",1.5,106593
626,"2017/2018","Kindergarten","DTaP","Fully Immunized",88.7,65718
627,"2017/2018","School","DTaP","Incomplete Record",2.1,880843
628,"2017/2018","School","Polio","No Record",0.7,880843
629,"2018/2019","Child Care/Preschool","MMR","Medical Exemption",0.1,92382
630,"2019/2020","Kindergarten","HepB","In Process",0.3,67876
631,"2019/2020","Kindergarten","MMR","Medical Exemption",0.2,67876
632,"2019/2020","Kindergarten","Polio","In Process",0.6,67876
633,"2019/2020","Kindergarten","Polio","Incomplete Record",3.2,67876
634,"2019/2020","Kindergarten","Varicella","Nonmedical Exemption",4.7,67876
635,"2019/2020","School","HepB","Medical Exemption",0.1,899626
636,"2019/2020","School","Varicella","Fully Immunized",94.2,899626
637,"2020/2021","School","Polio","Medical Exemption",0.1,867411
638,"2020/2021","School","Varicella","No Record",0.7,867411
639,"2021/2022","Child Care/Preschool","HepB","No Record",0.8,92664
640,"2021/2022","Kindergarten",,"Summary Compliant",88.9,65253
641,"2021/2022","Kindergarten","Varicella","Incomplete Record",7.2,65253
642,"2021/2022","School","Tdap","Fully Immunized",90.5,484058
643,"2021/2022","School","Tdap","Medical Exemption",0.1,484058
644,"2023/2024","Child Care/Preschool","MMR","Incomplete Record",1.3,90894
645,"2023/2024","Kindergarten","HepB","Nonmedical Exemption",3.3,61748
646,"2023/2024","Kindergarten","Varicella","In Process",0.7,61748
647,"2024/2025","Child Care/Preschool","DTaP","Medical Exemption",0.1,94156
648,"2024/2025","Child Care/Preschool","Varicella","In Process",2,94156
649,"2024/2025","Kindergarten","HepB","Medical Exemption",0.1,60055
650,"2024/2025","School","Polio","Nonmedical Exemption",2.6,851736
651,"2025/2026","Child Care/Preschool","DTaP","Nonmedical Exemption",3.4,97807
652,"2025/2026","Child Care/Preschool","PCV","Medical Exemption",0.2,97807
653,"2025/2026","School","DTaP","Medical Exemption",0.2,849507
654,"2017/2018","Child Care/Preschool","Hib","Incomplete Record",1.3,106593
655,"2018/2019","Child Care/Preschool","MMR","Nonmedical Exemption",2.5,92382
656,"2018/2019","Child Care/Preschool","PCV","Incomplete Record",1.6,92382
657,"2018/2019","Kindergarten","DTaP","Nonmedical Exemption",4,64179
658,"2018/2019","Kindergarten","Polio","Medical Exemption",0.1,64179
659,"2018/2019","School","DTaP","Nonmedical Exemption",2.5,864485
660,"2018/2019","School","HepB","Fully Immunized",94.4,864485
661,"2018/2019","School","HepB","Nonmedical Exemption",2.8,864485
662,"2019/2020","Child Care/Preschool","PCV","Incomplete Record",1.1,108348
