time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	pct_any_exempt
2022-09-01	Louisiana	22043	Grant	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	0.9939	NA	NA	NA	0.0061	0.0061
2022-09-01	Louisiana	22045	Iberia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8991	NA	NA	0.9705	NA	NA	NA	0.0295	0.0295
2022-09-01	Louisiana	22047	Iberville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.936	NA	NA	0.9878	NA	NA	NA	0.0122	0.0122
2022-09-01	Louisiana	22049	Jackson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8354	NA	NA	0.981	NA	NA	NA	0.0127	0.0127
2022-09-01	Louisiana	22051	Jefferson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8203	NA	NA	0.9859	NA	NA	NA	0.0083	0.0083
2022-09-01	Louisiana	22053	Jefferson Davis	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7888	NA	NA	0.9847	NA	NA	NA	0.0102	0.0102
2022-09-01	Louisiana	22059	La Salle	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8302	NA	NA	0.98740000000000006	NA	NA	NA	0.0126	0.0126
2022-09-01	Louisiana	22055	Lafayette	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7534	NA	NA	0.9753	NA	NA	NA	0.0155	0.0155
2022-09-01	Louisiana	22057	Lafourche	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8271	NA	NA	0.9875	NA	NA	NA	0.0096	0.0096
2022-09-01	Louisiana	22061	Lincoln	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8779	NA	NA	0.9618	NA	NA	NA	0.0305	0.0305
2022-09-01	Louisiana	22063	Livingston	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7699	NA	NA	0.98	NA	NA	NA	0.0097	0.0097
2022-09-01	Louisiana	22065	Madison	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7204	NA	NA	0.9892	NA	NA	NA	0	0
2022-09-01	Louisiana	22067	Morehouse	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5909	NA	NA	1	NA	NA	NA	0	0
2022-09-01	Louisiana	22069	Natchitoches	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8514	NA	NA	0.9831	NA	NA	NA	0.0101	0.0101
2022-09-01	Louisiana	22071	Orleans	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7372	NA	NA	0.9769	NA	NA	NA	0.0146	0.0146
2022-09-01	Louisiana	22073	Ouachita	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5172	NA	NA	0.9877	NA	NA	NA	0.0053	0.0053
