,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Seventh Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
,Sabine,0.00%,0.00%,0.00%,2.10%,3.40%,1.43%,1.95%,4.55%,2.68%,2.84%,4.58%,,,,,,,
,San Augustine,0.00%,0.00%,0.00%,1.67%,1.14%,2.17%,0.00%,2.63%,0.00%,1.18%,3.03%,,,,,,,
,San Jacinto,0.72%,1.16%,0.81%,0.40%,1.14%,1.13%,1.41%,1.67%,1.77%,3.16%,2.45%,,,,,,,
,San Patricio,0.78%,0.71%,0.57%,0.54%,0.60%,0.61%,0.68%,0.70%,1.03%,0.89%,2.82%,,,,,,,
,San Saba,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,2.94%,1.25%,4.35%,8.20%,,,,,,,
,Schleicher,0.00%,0.00%,2.08%,0.00%,NR**,0.00%,0.00%,2.04%,0.00%,3.45%,0.00%,,,,,,,
,Scurry,0.41%,0.00%,0.45%,0.37%,0.84%,0.40%,1.38%,0.44%,1.29%,0.00%,1.32%,,,,,,,
,Shackelford,0.00%,0.00%,2.33%,2.50%,2.86%,2.04%,0.00%,4.35%,4.08%,4.35%,0.00%,,,,,,,
,Shelby,0.49%,0.25%,0.50%,0.26%,0.77%,0.00%,0.69%,1.32%,1.25%,1.33%,1.97%,,,,,,,
,Sherman,2.33%,0.00%,0.00%,0.00%,0.00%,2.33%,1.89%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Smith,1.31%,1.08%,0.97%,1.30%,1.23%,2.23%,2.21%,2.42%,3.51%,4.37%,4.05%,,,,,,,
,Somervell,1.56%,1.59%,0.76%,1.61%,5.33%,2.17%,2.44%,3.97%,5.19%,7.14%,7.48%,,,,,,,
,Starr,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.18%,0.00%,0.09%,0.17%,,,,,,,
,Stephens,0.91%,0.00%,0.00%,0.79%,5.50%,0.79%,2.68%,0.89%,4.90%,6.12%,5.56%,,,,,,,
,Sterling,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,2.44%,3.70%,0.00%,,,,,,,
,Stonewall,0.00%,0.00%,0.00%,0.00%,6.67%,0.00%,NR**,0.00%,0.00%,0.00%,NR**,,,,,,,
,Sutton,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.12%,,,,,,,
,Swisher,0.87%,1.02%,0.00%,0.00%,0.00%,0.00%,0.78%,0.00%,2.54%,0.81%,0.00%,,,,,,,
,Tarrant,1.07%,1.07%,1.02%,1.26%,1.64%,1.72%,2.11%,2.14%,2.47%,3.11%,3.24%,,,,,,,
,Taylor,0.75%,0.68%,0.51%,0.79%,0.81%,1.04%,0.98%,0.94%,1.68%,2.09%,2.12%,,,,,,,
,Terrell,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,Terry,0.00%,0.00%,0.00%,0.00%,0.75%,0.59%,1.67%,1.95%,1.75%,5.23%,5.11%,,,,,,,
,Throckmorton,5.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,10.00%,18.75%,,,,,,,
,Titus,0.39%,0.43%,0.66%,0.00%,0.38%,0.39%,0.18%,0.26%,0.91%,0.40%,1.30%,,,,,,,
,Tom Green,0.49%,0.66%,0.79%,0.98%,0.83%,1.10%,1.18%,0.78%,1.54%,1.83%,2.49%,,,,,,,
,Travis,2.30%,2.36%,2.28%,2.38%,2.55%,2.47%,2.60%,2.41%,2.26%,2.20%,3.01%,,,,,,,
,Trinity,1.13%,0.00%,0.00%,0.00%,1.18%,0.54%,1.12%,4.40%,3.03%,1.09%,4.04%,,,,,,,
,Tyler,0.77%,0.74%,0.40%,1.41%,0.72%,1.43%,1.59%,1.42%,1.45%,4.29%,3.44%,,,,,,,
,Upshur,1.87%,1.62%,1.50%,1.65%,1.98%,1.82%,1.82%,3.01%,3.60%,3.42%,6.30%,,,,,,,
,Upton,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.86%,1.92%,,,,,,,
,Uvalde,0.43%,0.25%,0.25%,0.91%,0.97%,0.78%,1.31%,1.24%,1.17%,1.08%,3.10%,,,,,,,
,Val Verde,0.39%,0.50%,0.00%,0.37%,0.12%,0.25%,0.41%,0.29%,0.40%,0.52%,0.84%,,,,,,,
,Van Zandt,0.66%,0.91%,1.30%,2.93%,2.66%,1.66%,1.94%,2.57%,3.85%,3.97%,4.42%,,,,,,,
,Victoria,0.08%,1.96%,0.33%,0.25%,0.41%,0.67%,0.68%,0.63%,1.66%,1.24%,1.07%,,,,,,,
,Walker,0.54%,0.72%,1.44%,1.07%,0.41%,1.10%,1.00%,1.07%,0.70%,1.41%,4.24%,,,,,,,
,Waller,0.67%,0.68%,0.55%,0.94%,0.75%,1.57%,1.61%,1.09%,0.88%,0.63%,2.37%,,,,,,,
,Ward,0.59%,0.00%,0.00%,0.00%,1.01%,0.00%,1.04%,1.57%,1.57%,1.58%,1.62%,,,,,,,
,Washington,0.46%,0.00%,1.00%,0.95%,0.23%,0.23%,0.65%,1.62%,1.36%,1.98%,3.34%,,,,,,,
,Webb,0.06%,0.11%,0.04%,0.08%,0.16%,0.24%,0.30%,0.18%,0.19%,0.39%,0.39%,,,,,,,
,Wharton,0.31%,0.15%,0.27%,0.44%,0.43%,0.30%,0.59%,0.32%,0.97%,0.65%,1.56%,,,,,,,
,Wheeler,1.33%,5.17%,4.65%,0.00%,3.23%,1.33%,1.23%,3.80%,0.00%,0.00%,8.75%,,,,,,,
,Wichita,1.23%,0.26%,1.16%,0.86%,0.61%,0.85%,1.13%,0.91%,0.93%,1.66%,1.68%,,,,,,,
,Wilbarger,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,2.03%,1.67%,0.61%,1.32%,0.69%,,,,,,,
,Willacy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.30%,3.57%,0.00%,0.34%,,,,,,,
,Williamson,2.44%,2.52%,2.45%,2.72%,2.96%,3.07%,3.37%,3.05%,3.76%,4.29%,4.45%,,,,,,,
,Wilson,0.57%,1.45%,1.34%,0.89%,0.62%,1.61%,2.75%,2.26%,2.44%,3.20%,3.91%,,,,,,,
,Winkler,1.64%,0.00%,0.00%,0.83%,0.00%,0.00%,1.30%,0.66%,1.49%,0.00%,1.48%,,,,,,,
,Wise,0.57%,1.64%,1.59%,1.18%,2.69%,1.71%,2.74%,2.20%,3.20%,5.10%,5.63%,,,,,,,
,Wood,0.42%,0.71%,0.83%,1.30%,1.19%,2.12%,1.87%,1.54%,2.54%,4.87%,3.17%,,,,,,,
,Yoakum,0.60%,2.21%,1.21%,0.64%,1.12%,0.69%,0.56%,0.00%,2.38%,1.26%,4.23%,,,,,,,
,Young,0.79%,0.38%,0.00%,1.54%,0.00%,0.77%,1.65%,0.80%,4.58%,1.63%,3.98%,,,,,,,
,Zapata,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.39%,,,,,,,
,Zavala,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,0.00%,0.56%,0.00%,0.73%,,,,,,,
