,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten through 12th Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,Liberty,0.39%,0.35%,0.52%,0.57%,0.73%,0.81%,0.81%,0.75%,0.67%,1.07%,1.12%,,,,,,,
,Limestone,0.23%,0.28%,0.32%,0.36%,0.47%,0.26%,0.41%,0.40%,0.84%,1.21%,1.15%,,,,,,,
,Lipscomb,0.65%,0.43%,0.15%,0.13%,0.49%,0.58%,0.57%,0.94%,1.09%,3.45%,3.11%,,,,,,,
,Live Oak,0.40%,0.49%,0.34%,0.41%,0.63%,0.89%,0.98%,0.99%,1.22%,0.99%,0.77%,,,,,,,
,Llano,1.19%,1.39%,1.38%,1.35%,1.28%,1.49%,2.17%,2.10%,2.27%,2.16%,2.98%,,,,,,,
,Loving,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,,,,,,,
,Lubbock,0.85%,1.01%,1.11%,1.31%,1.31%,1.34%,1.50%,1.60%,1.81%,2.05%,2.37%,,,,,,,
,Lynn,0.87%,1.07%,0.88%,0.88%,1.49%,1.89%,1.09%,1.24%,2.07%,3.19%,3.65%,,,,,,,
,McCulloch,0.46%,0.48%,0.40%,0.40%,0.71%,0.55%,0.40%,0.66%,1.06%,1.20%,1.44%,,,,,,,
,McLennan,0.18%,0.17%,0.42%,1.00%,1.14%,1.65%,1.97%,2.14%,2.52%,3.24%,2.88%,,,,,,,
,McMullen,0.74%,3.23%,0.75%,0.74%,1.14%,1.15%,1.31%,1.78%,2.69%,3.43%,3.30%,,,,,,,
,Madison,1.36%,1.90%,1.89%,1.35%,2.17%,2.94%,2.68%,2.21%,3.06%,3.44%,3.43%,,,,,,,
,Marion,0.59%,0.51%,0.67%,0.69%,0.91%,1.05%,0.86%,0.89%,1.50%,1.41%,1.68%,,,,,,,
,Martin,0.06%,0.03%,0.03%,0.07%,0.05%,0.10%,0.14%,0.16%,0.14%,0.11%,0.19%,,,,,,,
,Mason,0.32%,0.54%,0.47%,0.36%,0.65%,0.52%,0.30%,1.26%,2.22%,2.33%,1.92%,,,,,,,
,Matagorda,0.31%,0.33%,0.35%,0.48%,0.56%,0.78%,1.15%,0.99%,1.12%,1.56%,1.71%,,,,,,,
,Maverick,0.00%,0.40%,0.81%,1.21%,0.41%,0.37%,NR**,2.01%,1.85%,4.20%,4.63%,,,,,,,
