,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
,King,0.00%,16.67%,0.00%,0.00%,14.29%,16.67%,11.11%,0.00%,13.33%,25.00%,0.00%,,,,,,,
,Kinney,0.00%,2.70%,0.00%,0.00%,0.00%,2.63%,0.00%,2.22%,6.38%,0.00%,2.56%,,,,,,,
,Kleberg,0.72%,0.00%,1.04%,0.00%,0.53%,1.03%,1.12%,0.93%,1.01%,1.66%,3.44%,,,,,,,
,Knox,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.38%,2.70%,,,,,,,
,La Salle,0.00%,NR**,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.39%,0.00%,,,,,,,
,Lamar,0.86%,0.56%,1.49%,1.38%,1.31%,2.47%,1.92%,2.03%,1.75%,3.45%,3.16%,,,,,,,
,Lamb,0.00%,0.00%,0.40%,0.00%,1.42%,0.00%,0.00%,2.16%,1.02%,2.47%,1.97%,,,,,,,
,Lampasas,8.96%,2.98%,2.24%,2.78%,3.66%,5.71%,4.31%,1.43%,4.78%,8.27%,5.56%,,,,,,,
,Lavaca,0.00%,1.63%,0.65%,1.35%,1.24%,2.81%,1.74%,1.58%,2.14%,3.21%,6.67%,,,,,,,
,Lee,0.78%,1.15%,1.23%,0.94%,2.14%,1.32%,0.82%,2.12%,3.77%,1.62%,3.57%,,,,,,,
,Leon,0.00%,0.41%,0.44%,2.55%,1.65%,0.00%,1.43%,1.73%,0.43%,5.49%,5.24%,,,,,,,
,Liberty,0.46%,0.85%,0.81%,0.87%,1.75%,1.18%,1.41%,1.05%,1.37%,2.33%,3.03%,,,,,,,
