time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_enrolled
2021-09-01	South Carolina	45053	Jasper	Overall	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	3919
2022-09-01	South Carolina	45053	Jasper	Overall	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	4348
2023-09-01	South Carolina	45053	Jasper	Overall	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	3720
2019-09-01	South Carolina	45055	Kershaw	Overall	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	11005
2020-09-01	South Carolina	45055	Kershaw	Overall	NA	NA	NA	NA	NA	91	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	11272
2021-09-01	South Carolina	45055	Kershaw	Overall	NA	NA	NA	NA	NA	95	NA	NA	NA	NA	NA	NA	NA	0.8700000000000001	NA	NA	10903
2022-09-01	South Carolina	45055	Kershaw	Overall	NA	NA	NA	NA	NA	115	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	11059
2023-09-01	South Carolina	45055	Kershaw	Overall	NA	NA	NA	NA	NA	152	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	11298
2019-09-01	South Carolina	45057	Lancaster	Overall	NA	NA	NA	NA	NA	149	NA	NA	NA	NA	NA	NA	NA	1.11	NA	NA	13463
2020-09-01	South Carolina	45057	Lancaster	Overall	NA	NA	NA	NA	NA	179	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	14220
2021-09-01	South Carolina	45057	Lancaster	Overall	NA	NA	NA	NA	NA	178	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA	14093
2022-09-01	South Carolina	45057	Lancaster	Overall	NA	NA	NA	NA	NA	210	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	15019
2023-09-01	South Carolina	45057	Lancaster	Overall	NA	NA	NA	NA	NA	284	NA	NA	NA	NA	NA	NA	NA	1.8800000000000001	NA	NA	15130
2019-09-01	South Carolina	45059	Laurens	Overall	NA	NA	NA	NA	NA	93	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA	8739
2020-09-01	South Carolina	45059	Laurens	Overall	NA	NA	NA	NA	NA	86	NA	NA	NA	NA	NA	NA	NA	1.01	NA	NA	8544
2021-09-01	South Carolina	45059	Laurens	Overall	NA	NA	NA	NA	NA	77	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	8298
2022-09-01	South Carolina	45059	Laurens	Overall	NA	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	NA	NA	1.28	NA	NA	8290
2023-09-01	South Carolina	45059	Laurens	Overall	NA	NA	NA	NA	NA	152	NA	NA	NA	NA	NA	NA	NA	1.78	NA	NA	8518
2019-09-01	South Carolina	45061	Lee	Overall	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	2238
2020-09-01	South Carolina	45061	Lee	Overall	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	0.28	NA	NA	2121
2021-09-01	South Carolina	45061	Lee	Overall	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	1974
2022-09-01	South Carolina	45061	Lee	Overall	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	0.32999999999999996	NA	NA	1833
2023-09-01	South Carolina	45061	Lee	Overall	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	1904
2019-09-01	South Carolina	45063	Lexington	Overall	NA	NA	NA	NA	NA	762	NA	NA	NA	NA	NA	NA	NA	1.3	NA	NA	58482
2020-09-01	South Carolina	45063	Lexington	Overall	NA	NA	NA	NA	NA	810	NA	NA	NA	NA	NA	NA	NA	1.36	NA	NA	59423
2021-09-01	South Carolina	45063	Lexington	Overall	NA	NA	NA	NA	NA	803	NA	NA	NA	NA	NA	NA	NA	1.3900000000000001	NA	NA	57818
2022-09-01	South Carolina	45063	Lexington	Overall	NA	NA	NA	NA	NA	1097	NA	NA	NA	NA	NA	NA	NA	1.79	NA	NA	61318
2023-09-01	South Carolina	45063	Lexington	Overall	NA	NA	NA	NA	NA	1431	NA	NA	NA	NA	NA	NA	NA	2.18	NA	NA	65550
2019-09-01	South Carolina	45067	Marion	Overall	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	0.21000000000000002	NA	NA	4668
2020-09-01	South Carolina	45067	Marion	Overall	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	0.24000000000000002	NA	NA	4626
2021-09-01	South Carolina	45067	Marion	Overall	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	4493
2022-09-01	South Carolina	45067	Marion	Overall	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	4328
2023-09-01	South Carolina	45067	Marion	Overall	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	4284
2019-09-01	South Carolina	45069	Marlboro	Overall	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	4098
2020-09-01	South Carolina	45069	Marlboro	Overall	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	3999
2021-09-01	South Carolina	45069	Marlboro	Overall	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	0.21000000000000002	NA	NA	3895
2022-09-01	South Carolina	45069	Marlboro	Overall	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	3832
2023-09-01	South Carolina	45069	Marlboro	Overall	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	3750
2019-09-01	South Carolina	45065	McCormick	Overall	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	698
2020-09-01	South Carolina	45065	McCormick	Overall	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.16	NA	NA	635
2021-09-01	South Carolina	45065	McCormick	Overall	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	690
