"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Mary E. Griswold School","Public","133 Heather Ln.","Berlin","06037","Capitol","1.2","0.4","1.6"
"Prism Academy","Non-public","166 Lincoln Street","Berlin","06037","Capitol","DNC","DNC","DNC"
"Richard D. Hubbard School","Public","139 Grove St.","Berlin","06023","Capitol","1.0","0.5","1.4"
"St. Paul School","Non-public","461 Alling Street","Berlin","06037","Capitol","4.5","0.0","4.5"
"Amity Middle School: Bethany","Public","190 Luke Hill Rd.","Bethany","06524","South Central","2.6","0.0","2.6"
"Bethany Community School","Public","44 Peck Road","Bethany","06524","South Central","0.7","0.5","1.2"
"ACCESS Middle and High School","Non-public","16 Trowbridge Drive","Bethel","06801","Western CT","DS","DS","DS"
"Anna H. Rockwell School","Public","400 Whittlesey Dr.","Bethel","06801","Western CT","0.0","0.0","0.0"
"Bethel High School","Public","300 Whittlesey Dr.","Bethel","06801","Western CT","1.7","0.2","1.8"
"Bethel Middle School","Public","600 Whittlesey Dr.","Bethel","06801","Western CT","3.6","0.3","3.8"
"Frank A. Berry School","Public","200 Whittlesey Dr.","Bethel","06801","Western CT","0.0","0.6","0.6"
"Guide Academy","Public","49 Katrina Circle","Bethel","06801","Western CT","DS","DS","DS"
"Ralph M. T. Johnson School","Public","500 Whittlesey Dr.","Bethel","06801","Western CT","1.6","0.0","1.6"
"St. Mary School-Bethel","Non-public","24 Dodgingtown Road","Bethel","06801","Western CT","0.0","0.0","0.0"
"Arch Bridge School","Non-public","21 Arch Bridge Road","Bethlehem","06751","Naugatuck Valley","DS","DS","DS"
"Bethlehem Elementary School","Public","92 East St.","Bethlehem","06751","Naugatuck Valley","2.3","0.4","2.7"
"The Woodhall School","Non-public","58 Harrison Lane","Bethlehem","06751","Naugatuck Valley","2.2","2.2","4.4"
"Academy of International Studies 6-12","Non-public","1551 Blue Hills Ave.","Bloomfield","06002","Capitol","0.6","0.6","1.2"
