time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment
2019-09-01	51660	Harrisonburg City	Kindergarten	NA	NA	NA	NA	NA	11	1	12	NA	NA	NA	NA	NA	2.19	0.2	2.39	503
2019-09-01	51087	Henrico	7th grade	NA	NA	NA	NA	NA	39	4	43	NA	NA	NA	NA	NA	0.89	0.09	0.98	4369
2019-09-01	51087	Henrico	Kindergarten	NA	NA	NA	NA	NA	47	15	62	NA	NA	NA	NA	NA	1.16	0.37	1.53	4051
2019-09-01	51089	Henry	7th grade	NA	NA	NA	NA	NA	0	3	3	NA	NA	NA	NA	NA	0	0.5	0.5	599
2019-09-01	51089	Henry	Kindergarten	NA	NA	NA	NA	NA	4	3	7	NA	NA	NA	NA	NA	0.71	0.53	1.24	565
2019-09-01	51091	Highland	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	12
2019-09-01	51091	Highland	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	19
2019-09-01	51670	Hopewell City	Kindergarten	NA	NA	NA	NA	NA	1	2	3	NA	NA	NA	NA	NA	0.32	0.64	0.96	311
2019-09-01	51095	James City	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	4.65	0	4.65	43
2019-09-01	51095	James City	Kindergarten	NA	NA	NA	NA	NA	2	1	3	NA	NA	NA	NA	NA	4	2	6	50
2019-09-01	51099	King George	7th grade	NA	NA	NA	NA	NA	7	3	10	NA	NA	NA	NA	NA	1.89	0.81	2.7	370
2019-09-01	51099	King George	Kindergarten	NA	NA	NA	NA	NA	4	1	5	NA	NA	NA	NA	NA	1.22	0.3	1.52	329
2019-09-01	51101	King William	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	1.08	0	1.08	185
2019-09-01	51101	King William	Kindergarten	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	2.05	0	2.05	146
2019-09-01	51103	Lancaster	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	83
2019-09-01	51103	Lancaster	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	76
2019-09-01	51105	Lee	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.8	0	0.8	125
2019-09-01	51105	Lee	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	30
2019-09-01	51678	Lexington City	7th grade	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	1.61	1.61	3.23	62
